Year,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2013,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2019,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2020,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2021,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2011,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2010,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2016,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2012,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2022,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2018,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2017,,,,Arrigorriaga,Por 100.000 habitantes,Arrigorriaga,0.0
2013,,,,Artea,Por 100.000 habitantes,Artea,0.0
2018,,,,Artea,Por 100.000 habitantes,Artea,0.0
2020,,,,Artea,Por 100.000 habitantes,Artea,0.0
2014,,,,Artea,Por 100.000 habitantes,Artea,0.0
2012,,,,Artea,Por 100.000 habitantes,Artea,0.0
2024,,,,Artea,Por 100.000 habitantes,Artea,0.0
2023,,,,Artea,Por 100.000 habitantes,Artea,0.0
2019,,,,Artea,Por 100.000 habitantes,Artea,0.0
2011,,,,Artea,Por 100.000 habitantes,Artea,0.0
2017,,,,Artea,Por 100.000 habitantes,Artea,0.0
2015,,,,Artea,Por 100.000 habitantes,Artea,0.0
2016,,,,Artea,Por 100.000 habitantes,Artea,0.0
2021,,,,Artea,Por 100.000 habitantes,Artea,0.0
2010,,,,Artea,Por 100.000 habitantes,Artea,0.0
2022,,,,Artea,Por 100.000 habitantes,Artea,0.0
2018,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2022,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2023,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2021,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2016,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2012,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2011,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2010,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2020,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2017,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2013,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2019,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2014,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2024,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2015,,,,Artzentales,Por 100.000 habitantes,Artzentales,0.0
2022,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2018,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2012,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2019,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2011,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2016,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2024,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2010,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2023,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2015,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2014,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2013,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2017,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2021,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2020,,,,Artziniega,Por 100.000 habitantes,Artziniega,0.0
2016,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2011,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2015,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2018,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2014,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2013,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2024,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2010,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2020,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2017,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2012,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2023,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
2021,,,,Asparrena,Por 100.000 habitantes,Asparrena,0.0
