Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2016,,16 years and over,,,,,Amezketa,PT,Amezketa,10.8
2010,,16 years and over,,,,,Amezketa,PT,Amezketa,7.3
2018,,16 years and over,,,,,Amezketa,PT,Amezketa,10.8
2018,,16 years and over,,,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,8.9
2010,,16 years and over,,,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,9.1
2016,,16 years and over,,,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,12.6
2019,,16 years and over,,,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,8.9
2020,,16 years and over,,,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,8.1
2015,,16 years and over,,,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,14.4
2021,,16 years and over,,,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,9.2
2018,,16 years and over,,,,,Amoroto,PT,Amoroto,6.7
2019,,16 years and over,,,,,Amoroto,PT,Amoroto,8.4
2020,,16 years and over,,,,,Amoroto,PT,Amoroto,10.4
2015,,16 years and over,,,,,Amoroto,PT,Amoroto,11.0
2021,,16 years and over,,,,,Amoroto,PT,Amoroto,7.0
2016,,16 years and over,,,,,Amoroto,PT,Amoroto,8.2
2010,,16 years and over,,,,,Amoroto,PT,Amoroto,8.7
2010,,16 years and over,,,,,Amurrio,PT,Amurrio,9.3
2016,,16 years and over,,,,,Amurrio,PT,Amurrio,15.8
2021,,16 years and over,,,,,Amurrio,PT,Amurrio,11.4
2020,,16 years and over,,,,,Amurrio,PT,Amurrio,11.2
2015,,16 years and over,,,,,Amurrio,PT,Amurrio,16.1
2018,,16 years and over,,,,,Amurrio,PT,Amurrio,12.0
2019,,16 years and over,,,,,Amurrio,PT,Amurrio,10.7
2021,,16 years and over,,,,,Andoain,PT,Andoain,9.8
2016,,16 years and over,,,,,Andoain,PT,Andoain,13.7
2010,,16 years and over,,,,,Andoain,PT,Andoain,8.5
2019,,16 years and over,,,,,Andoain,PT,Andoain,9.1
2018,,16 years and over,,,,,Andoain,PT,Andoain,10.4
2015,,16 years and over,,,,,Andoain,PT,Andoain,13.8
2020,,16 years and over,,,,,Andoain,PT,Andoain,8.4
2016,,16 years and over,,,,,Anoeta,PT,Anoeta,13.6
2010,,16 years and over,,,,,Anoeta,PT,Anoeta,8.1
2015,,16 years and over,,,,,Anoeta,PT,Anoeta,14.0
2020,,16 years and over,,,,,Anoeta,PT,Anoeta,8.0
2019,,16 years and over,,,,,Anoeta,PT,Anoeta,8.4
2021,,16 years and over,,,,,Anoeta,PT,Anoeta,8.7
2018,,16 years and over,,,,,Anoeta,PT,Anoeta,9.5
2019,,16 years and over,,,,,Antzuola,PT,Antzuola,5.0
2020,,16 years and over,,,,,Antzuola,PT,Antzuola,6.1
2015,,16 years and over,,,,,Antzuola,PT,Antzuola,10.2
2016,,16 years and over,,,,,Antzuola,PT,Antzuola,8.5
2018,,16 years and over,,,,,Antzuola,PT,Antzuola,4.9
2010,,16 years and over,,,,,Antzuola,PT,Antzuola,6.9
2021,,16 years and over,,,,,Antzuola,PT,Antzuola,7.1
2018,,16 years and over,,,,,Añana,PT,Añana,8.2
2020,,16 years and over,,,,,Añana,PT,Añana,9.3
2016,,16 years and over,,,,,Añana,PT,Añana,15.6
2019,,16 years and over,,,,,Añana,PT,Añana,7.0
2010,,16 years and over,,,,,Añana,PT,Añana,6.3
2021,,16 years and over,,,,,Añana,PT,Añana,8.2
2015,,16 years and over,,,,,Añana,PT,Añana,17.9
2019,,16 years and over,,,,,Arakaldo,PT,Arakaldo,10.8
