Year,Series,NCD,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2023,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,514.1
2016,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,480.8
2018,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,1207.7
2020,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,974.4
2022,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,518.1
2013,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,746.3
2021,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,1256.3
2014,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,741.7
2010,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,246.9
2012,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,1007.6
2011,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,498.1
2017,EU_SH_DTH_NCOM,,,,,ES48004,PER_100000_POP,ES48004,954.7
2012,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,658.3
2021,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,606.8
2022,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,595.8
2015,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,659.7
2023,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,528.2
2024,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,547.4
2017,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,638.1
2013,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,585.9
2018,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,644.7
2020,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,540.5
2016,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,572.0
2019,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,703.6
2010,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,515.8
2014,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,514.9
2011,EU_SH_DTH_NCOM,,,,,ES01002,PER_100000_POP,ES01002,642.8
2023,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,697.8
2022,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,499.8
2020,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,636.4
2011,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,451.7
2013,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,490.7
2016,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,578.0
2021,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,682.4
2019,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,567.9
2012,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,511.6
2017,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,596.1
2024,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,568.1
2015,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,646.2
2014,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,597.9
2010,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,520.9
2018,EU_SH_DTH_NCOM,,,,,ES20009,PER_100000_POP,ES20009,736.4
2015,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,303.5
2021,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,474.5
2019,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,688.6
2012,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,270.1
2010,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,763.2
2020,EU_SH_DTH_NCOM,,,,,ES20010,PER_100000_POP,ES20010,482.9
